Survey,Year,Quarter,AphiaID,Species,IndexArea,Sex,PlusGr,Age_0,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,DateofCalculation
NS-IBTS,2018,3,126425,Sprattus sprattus,NS_SpratIIIa,,6,63.234,18844.686,5474.442,2140.562,1782.700,328.406,137.274,,,,,,,,,,20190429
NS-IBTS,2018,3,126425,Sprattus sprattus,NS_SpratIV,,6,1361.598,7845.359,921.163,84.668,26.668,5.133,0.311,,,,,,,,,,20190429
NS-IBTS,2018,3,126438,Merlangius merlangus,NS_Whit,,6,204.113,146.705,264.187,111.505,43.783,19.115,8.535,,,,,,,,,,20190429
NS-IBTS,2019,1,126436,Gadus morhua,NS_Cod,,6,0.000,2.223,1.151,2.309,0.257,0.211,0.196,,,,,,,,,,20191028
NS-IBTS,2019,1,126436,Gadus morhua,NS_CodCat,,6,0.000,2.024,1.709,3.111,1.066,0.444,0.313,,,,,,,,,,20191028
NS-IBTS,2019,1,126437,Melanogrammus aeglefinus,NS_Had,,6,0.000,153.070,126.234,150.811,22.464,77.331,2.425,,,,,,,,,,20191028
NS-IBTS,2019,1,126417,Clupea harengus,NS_Her,,5,0.000,1542.917,54.936,28.458,5.395,41.635,,,,,,,,,,,20191028
NS-IBTS,2019,1,126417,Clupea harengus,NS_Her1to7,,5,0.000,396.885,0.000,0.000,0.000,0.000,,,,,,,,,,,20191028
NS-IBTS,2019,1,126417,Clupea harengus,NS_Her1to9,,5,0.000,431.881,0.000,0.000,0.000,0.000,,,,,,,,,,,20191028
NS-IBTS,2019,1,127023,Scomber scombrus,NS_Mack,,6,0.000,88.469,18.298,0.597,0.034,0.034,0.019,,,,,,,,,,20191028
NS-IBTS,2019,1,126444,Trisopterus esmarkii,NS_NorPout,,6,0.000,3901.207,294.823,53.725,0.563,0.032,0.000,,,,,,,,,,20191028
NS-IBTS,2019,1,127143,Pleuronectes platessa,NS_PlaiceIIIa,,10,0.000,0.973,25.961,35.383,18.701,4.712,3.670,0.809,0.604,0.978,3.708,,,,,,20191028
NS-IBTS,2019,1,126441,Pollachius virens,NS_Saithe,,10,0.000,0.021,0.059,0.084,0.103,0.302,0.291,0.101,0.041,0.054,0.045,,,,,,20191028
NS-IBTS,2019,1,126425,Sprattus sprattus,NS_SpratIIIa,,6,0.000,658.368,3402.661,809.035,263.227,427.081,118.971,,,,,,,,,,20191028
NS-IBTS,2019,1,126425,Sprattus sprattus,NS_SpratIV,,6,0.000,3414.401,1652.761,227.056,6.338,0.273,0.000,,,,,,,,,,20191028
NS-IBTS,2019,1,126438,Merlangius merlangus,NS_Whit,,6,0.000,273.609,191.308,161.854,65.678,20.927,10.857,,,,,,,,,,20191028
NS-IBTS,2019,3,126436,Gadus morhua,NS_Cod,,6,4.960,4.448,0.928,1.100,0.242,0.122,0.142,,,,,,,,,,20191127
NS-IBTS,2019,3,126436,Gadus morhua,NS_CodCat,,6,19.708,0.912,0.130,0.000,0.000,0.000,0.000,,,,,,,,,,20191127
NS-IBTS,2019,3,126437,Melanogrammus aeglefinus,NS_Had,,6,1940.393,164.608,53.427,63.534,12.388,18.324,0.311,,,,,,,,,,20191127
NS-IBTS,2019,3,126417,Clupea harengus,NS_Her,,5,3224.209,785.294,224.235,124.147,82.346,283.034,,,,,,,,,,,20191127
NS-IBTS,2019,3,127023,Scomber scombrus,NS_Mack,,6,4.470,67.670,46.141,17.721,6.071,11.026,12.719,,,,,,,,,,20191127
NS-IBTS,2019,3,126444,Trisopterus esmarkii,NS_NorPout,,6,6460.517,2245.283,100.832,14.095,0.668,0.000,0.000,,,,,,,,,,20191127
NS-IBTS,2019,3,127143,Pleuronectes platessa,NS_PlaiceIIIa,,10,0.000,12.413,32.394,28.813,7.958,4.304,2.596,1.411,1.089,0.328,1.580,,,,,,20191127
NS-IBTS,2019,3,126441,Pollachius virens,NS_Saithe,,10,0.004,0.015,0.239,2.143,3.189,3.071,0.999,0.194,0.077,0.024,0.052,,,,,,20191127
NS-IBTS,2019,3,126425,Sprattus sprattus,NS_SpratIIIa,,6,23.152,17939.741,7696.563,1173.765,596.944,389.060,86.786,,,,,,,,,,20191127
NS-IBTS,2019,3,126425,Sprattus sprattus,NS_SpratIV,,6,727.224,6830.037,2464.299,283.046,8.206,0.000,0.000,,,,,,,,,,20191127
NS-IBTS,2019,3,127136,Glyptocephalus cynoglossus,NS_Test,,10,0.003,0.022,0.026,0.075,0.037,0.119,0.124,0.065,0.016,0.020,0.000,,,,,,20191127
NS-IBTS,2019,3,126438,Merlangius merlangus,NS_Whit,,6,729.955,389.391,160.763,100.440,32.907,10.608,3.699,,,,,,,,,,20191127
